param1,param2,variable,n,generation,gamma_ta,label
fold_growth,fold_growth,$\overline{\phi}$,182,NA,0.04866429182518927,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",182,NA,-0.05850779826215925,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",182,NA,0.050343342317003985,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",182,NA,0.014982586394037455,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",182,NA,0.002483583670388833,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",182,NA,0.04195218955429622,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",182,NA,0.05644692218030978,Trace
division_ratio,division_ratio,$\overline{f}$,182,NA,0.11680144710457126,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",182,NA,-0.035691198271832876,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",182,NA,0.009352432897915135,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",182,NA,0.032019148641413406,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",182,NA,-0.011290755804150438,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",182,NA,-0.10512590384122007,Trace
added_length,added_length,$\overline{\Delta}$,182,NA,0.11928897468653238,Trace
added_length,generationtime,"$($\overline{\Delta}$, $\overline{\tau}$)$",182,NA,0.02600573207420972,Trace
added_length,length_birth,"$($\overline{\Delta}$, $\overline{x_0}$)$",182,NA,0.10184678964070687,Trace
added_length,length_final,"$($\overline{\Delta}$, $\overline{x_\tau}$)$",182,NA,0.15149309624609977,Trace
added_length,growth_rate,"$($\overline{\Delta}$, $\overline{\alpha}$)$",182,NA,0.04163751003897505,Trace
generationtime,generationtime,$\overline{\tau}$,177,NA,0.06969266457224449,Trace
generationtime,length_birth,"$($\overline{\tau}$, $\overline{x_0}$)$",177,NA,0.02202512332807427,Trace
generationtime,length_final,"$($\overline{\tau}$, $\overline{x_\tau}$)$",177,NA,0.035080774952109484,Trace
generationtime,growth_rate,"$($\overline{\tau}$, $\overline{\alpha}$)$",177,NA,-0.061449979630498426,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,181,NA,0.05122584386627078,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",181,NA,0.028377442862871246,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",181,NA,0.043802540013985335,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",181,NA,0.0042486417516076624,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",181,NA,0.028171783860826357,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",181,NA,0.03635780516849908,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",181,NA,0.017378059956282423,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",181,NA,0.041035653739571826,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",181,NA,0.051370871659498316,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",181,NA,-0.018181973355572388,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,182,NA,0.05579739261157943,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.019877709202227294,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",182,NA,0.03735887520170877,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",182,NA,-0.02298243669708789,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",182,NA,0.056103194071146556,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",182,NA,0.02045750187056104,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",182,NA,0.01569565938787993,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",182,NA,0.05213146785584426,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",182,NA,0.032517129864597774,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,182,NA,0.07407389777857679,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",182,NA,0.005751340463859549,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",182,NA,0.030771722521564227,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",182,NA,0.041803397552543926,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",182,NA,0.032659345038329554,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",182,NA,0.06396696756220684,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",182,NA,0.0676860587619642,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",182,NA,-0.034402298396155835,Trace
fold_growth,fold_growth,$\overline{\phi}$,182,NA,0.04866429182518927,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",182,NA,-0.05850779826215925,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",182,NA,0.050343342317003985,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",182,NA,0.014982586394037455,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",182,NA,0.002483583670388833,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",182,NA,0.04195218955429622,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",182,NA,0.05644692218030978,Trace
division_ratio,division_ratio,$\overline{f}$,182,NA,0.11680144710457126,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",182,NA,-0.035691198271832876,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",182,NA,0.009352432897915135,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",182,NA,0.032019148641413406,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",182,NA,-0.011290755804150438,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",182,NA,-0.10512590384122007,Trace
added_length,added_length,$\overline{\Delta}$,182,NA,0.11928897468653238,Trace
added_length,generationtime,"$($\overline{\Delta}$, $\overline{\tau}$)$",182,NA,0.02600573207420972,Trace
added_length,length_birth,"$($\overline{\Delta}$, $\overline{x_0}$)$",182,NA,0.10184678964070687,Trace
added_length,length_final,"$($\overline{\Delta}$, $\overline{x_\tau}$)$",182,NA,0.15149309624609977,Trace
added_length,growth_rate,"$($\overline{\Delta}$, $\overline{\alpha}$)$",182,NA,0.04163751003897505,Trace
generationtime,generationtime,$\overline{\tau}$,177,NA,0.06969266457224449,Trace
generationtime,length_birth,"$($\overline{\tau}$, $\overline{x_0}$)$",177,NA,0.02202512332807427,Trace
generationtime,length_final,"$($\overline{\tau}$, $\overline{x_\tau}$)$",177,NA,0.035080774952109484,Trace
generationtime,growth_rate,"$($\overline{\tau}$, $\overline{\alpha}$)$",177,NA,-0.061449979630498426,Trace
length_birth,length_birth,$\overline{x_0}$,182,NA,0.18107600089708586,Trace
length_birth,length_final,"$($\overline{x_0}$, $\overline{x_\tau}$)$",182,NA,0.18210691623292327,Trace
length_birth,growth_rate,"$($\overline{x_0}$, $\overline{\alpha}$)$",182,NA,-0.029218704128641897,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,181,NA,0.05122584386627078,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",181,NA,0.028377442862871246,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",181,NA,0.043802540013985335,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",181,NA,0.0042486417516076624,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",181,NA,0.028171783860826357,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",181,NA,0.03635780516849908,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",181,NA,0.017378059956282423,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",181,NA,0.041035653739571826,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",181,NA,0.051370871659498316,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",181,NA,-0.018181973355572388,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,182,NA,0.05579739261157943,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.019877709202227294,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",182,NA,0.03735887520170877,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",182,NA,-0.02298243669708789,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",182,NA,0.056103194071146556,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",182,NA,0.02045750187056104,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",182,NA,0.01569565938787993,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",182,NA,0.05213146785584426,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",182,NA,0.032517129864597774,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,182,NA,0.07407389777857679,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",182,NA,0.005751340463859549,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",182,NA,0.030771722521564227,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",182,NA,0.041803397552543926,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",182,NA,0.032659345038329554,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",182,NA,0.06396696756220684,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",182,NA,0.0676860587619642,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",182,NA,-0.034402298396155835,Trace
fold_growth,fold_growth,$\overline{\phi}$,182,NA,0.04866429182518927,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",182,NA,-0.05850779826215925,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",182,NA,0.050343342317003985,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",182,NA,0.014982586394037455,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",182,NA,0.002483583670388833,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",182,NA,0.04195218955429622,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",182,NA,0.05644692218030978,Trace
division_ratio,division_ratio,$\overline{f}$,182,NA,0.11680144710457126,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",182,NA,-0.035691198271832876,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",182,NA,0.009352432897915135,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",182,NA,0.032019148641413406,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",182,NA,-0.011290755804150438,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",182,NA,-0.10512590384122007,Trace
added_length,added_length,$\overline{\Delta}$,182,NA,0.11928897468653238,Trace
added_length,generationtime,"$($\overline{\Delta}$, $\overline{\tau}$)$",182,NA,0.02600573207420972,Trace
added_length,length_birth,"$($\overline{\Delta}$, $\overline{x_0}$)$",182,NA,0.10184678964070687,Trace
added_length,length_final,"$($\overline{\Delta}$, $\overline{x_\tau}$)$",182,NA,0.15149309624609977,Trace
added_length,growth_rate,"$($\overline{\Delta}$, $\overline{\alpha}$)$",182,NA,0.04163751003897505,Trace
generationtime,generationtime,$\overline{\tau}$,177,NA,0.06969266457224449,Trace
generationtime,length_birth,"$($\overline{\tau}$, $\overline{x_0}$)$",177,NA,0.02202512332807427,Trace
generationtime,length_final,"$($\overline{\tau}$, $\overline{x_\tau}$)$",177,NA,0.035080774952109484,Trace
generationtime,growth_rate,"$($\overline{\tau}$, $\overline{\alpha}$)$",177,NA,-0.061449979630498426,Trace
length_birth,length_birth,$\overline{x_0}$,182,NA,0.18107600089708586,Trace
length_birth,length_final,"$($\overline{x_0}$, $\overline{x_\tau}$)$",182,NA,0.18210691623292327,Trace
length_birth,growth_rate,"$($\overline{x_0}$, $\overline{\alpha}$)$",182,NA,-0.029218704128641897,Trace
length_final,length_final,$\overline{x_\tau}$,182,NA,0.22578965553604866,Trace
length_final,growth_rate,"$($\overline{x_\tau}$, $\overline{\alpha}$)$",182,NA,0.0146671006727,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,181,NA,0.05122584386627078,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",181,NA,0.028377442862871246,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",181,NA,0.043802540013985335,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",181,NA,0.0042486417516076624,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",181,NA,0.028171783860826357,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",181,NA,0.03635780516849908,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",181,NA,0.017378059956282423,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",181,NA,0.041035653739571826,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",181,NA,0.051370871659498316,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",181,NA,-0.018181973355572388,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,182,NA,0.05579739261157943,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.019877709202227294,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",182,NA,0.03735887520170877,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",182,NA,-0.02298243669708789,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",182,NA,0.056103194071146556,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",182,NA,0.02045750187056104,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",182,NA,0.01569565938787993,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",182,NA,0.05213146785584426,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",182,NA,0.032517129864597774,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,182,NA,0.07407389777857679,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",182,NA,0.005751340463859549,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",182,NA,0.030771722521564227,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",182,NA,0.041803397552543926,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",182,NA,0.032659345038329554,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",182,NA,0.06396696756220684,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",182,NA,0.0676860587619642,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",182,NA,-0.034402298396155835,Trace
fold_growth,fold_growth,$\overline{\phi}$,182,NA,0.04866429182518927,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",182,NA,-0.05850779826215925,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",182,NA,0.050343342317003985,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",182,NA,0.014982586394037455,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",182,NA,0.002483583670388833,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",182,NA,0.04195218955429622,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",182,NA,0.05644692218030978,Trace
division_ratio,division_ratio,$\overline{f}$,182,NA,0.11680144710457126,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",182,NA,-0.035691198271832876,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",182,NA,0.009352432897915135,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",182,NA,0.032019148641413406,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",182,NA,-0.011290755804150438,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",182,NA,-0.10512590384122007,Trace
added_length,added_length,$\overline{\Delta}$,182,NA,0.11928897468653238,Trace
added_length,generationtime,"$($\overline{\Delta}$, $\overline{\tau}$)$",182,NA,0.02600573207420972,Trace
added_length,length_birth,"$($\overline{\Delta}$, $\overline{x_0}$)$",182,NA,0.10184678964070687,Trace
added_length,length_final,"$($\overline{\Delta}$, $\overline{x_\tau}$)$",182,NA,0.15149309624609977,Trace
added_length,growth_rate,"$($\overline{\Delta}$, $\overline{\alpha}$)$",182,NA,0.04163751003897505,Trace
generationtime,generationtime,$\overline{\tau}$,177,NA,0.06969266457224449,Trace
generationtime,length_birth,"$($\overline{\tau}$, $\overline{x_0}$)$",177,NA,0.02202512332807427,Trace
generationtime,length_final,"$($\overline{\tau}$, $\overline{x_\tau}$)$",177,NA,0.035080774952109484,Trace
generationtime,growth_rate,"$($\overline{\tau}$, $\overline{\alpha}$)$",177,NA,-0.061449979630498426,Trace
length_birth,length_birth,$\overline{x_0}$,182,NA,0.18107600089708586,Trace
length_birth,length_final,"$($\overline{x_0}$, $\overline{x_\tau}$)$",182,NA,0.18210691623292327,Trace
length_birth,growth_rate,"$($\overline{x_0}$, $\overline{\alpha}$)$",182,NA,-0.029218704128641897,Trace
length_final,length_final,$\overline{x_\tau}$,182,NA,0.22578965553604866,Trace
length_final,growth_rate,"$($\overline{x_\tau}$, $\overline{\alpha}$)$",182,NA,0.0146671006727,Trace
growth_rate,growth_rate,$\overline{\alpha}$,182,NA,0.1721558989533344,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,182,NA,0.03458573353911937,Artificial
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",182,NA,0.01736858946070146,Artificial
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.011857424856015425,Artificial
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",182,NA,0.018447534548553097,Artificial
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",182,NA,-0.00395807882718268,Artificial
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",182,NA,0.020631701810317135,Artificial
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",182,NA,0.011802627273703327,Artificial
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",182,NA,-0.005765985931884811,Artificial
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",182,NA,0.01313304060771388,Artificial
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",182,NA,0.007928769214740526,Artificial
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,182,NA,0.03458573353911937,Artificial
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",182,NA,0.01736858946070146,Artificial
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.011857424856015425,Artificial
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",182,NA,0.018447534548553097,Artificial
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",182,NA,-0.00395807882718268,Artificial
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",182,NA,0.020631701810317135,Artificial
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",182,NA,0.011802627273703327,Artificial
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",182,NA,-0.005765985931884811,Artificial
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",182,NA,0.01313304060771388,Artificial
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",182,NA,0.007928769214740526,Artificial
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,182,NA,0.028781573573288376,Artificial
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.008086457979205713,Artificial
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",182,NA,0.024130580822020183,Artificial
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",182,NA,0.00279520154970755,Artificial
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",182,NA,0.02596794465639503,Artificial
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",182,NA,0.017017295629878287,Artificial
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",182,NA,-0.005884569025625692,Artificial
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",182,NA,0.01608620834996223,Artificial
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",182,NA,0.011903682000987821,Artificial
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,182,NA,0.03458573353911937,Artificial
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",182,NA,0.01736858946070146,Artificial
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.011857424856015425,Artificial
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",182,NA,0.018447534548553097,Artificial
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",182,NA,-0.00395807882718268,Artificial
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",182,NA,0.020631701810317135,Artificial
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",182,NA,0.011802627273703327,Artificial
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",182,NA,-0.005765985931884811,Artificial
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",182,NA,0.01313304060771388,Artificial
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",182,NA,0.007928769214740526,Artificial
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,182,NA,0.028781573573288376,Artificial
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",182,NA,0.008086457979205713,Artificial
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",182,NA,0.024130580822020183,Artificial
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",182,NA,0.00279520154970755,Artificial
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",182,NA,0.02596794465639503,Artificial
